,Dataset,alpha,acc,qwk,precision_0,recall_0,fbeta_score_0,precision_1,recall_1,fbeta_score_1,precision_2,recall_2,fbeta_score_2,precision_3,recall_3,fbeta_score_3,precision_4,recall_4,fbeta_score_4
NCR-0,NCR,0,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
NCR_SMT-0.5,NCR_SMT,0.5,0.7577112203844435,0.902517622873263,0.41338221814848763,0.8930693069306931,0.5651629072681705,0.6508120649651972,0.4583333333333333,0.5378715244487057,0.31048387096774194,0.17381489841986456,0.2228654124457308,0.3020833333333333,0.058823529411764705,0.09847198641765705,0.8987313094698686,0.9804745427582798,0.9378250591016548
SMT-1,SMT,1,0.7767843838474147,0.9158157826237513,0.49875,0.7900990099009901,0.6114942528735633,0.702020202020202,0.5678104575163399,0.6278229448961156,0.3341288782816229,0.3160270880361174,0.3248259860788863,0.2901960784313726,0.15010141987829614,0.19786096256684493,0.919472568872145,0.9651507661888284,0.9417581092487639
TL_SMT-0.1,TL_SMT,0.1,0.6598122485471614,0.5176743427038412,0.5410764872521246,0.7564356435643564,0.6308835672997524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6737718567860117,1.0,0.8050940204954731
NCR_SMT-0.8,NCR_SMT,0.8,0.7700789748174639,0.9122217463760222,0.4621131270010672,0.8574257425742574,0.6005547850208044,0.6735966735966736,0.5294117647058824,0.5928636779505947,0.3300653594771242,0.22799097065462753,0.2696929238985314,0.29545454545454547,0.10547667342799188,0.15545590433482812,0.9085450346420323,0.972318339100346,0.9393505253104106
NCR-1,NCR,1,0.7922813291610789,0.9064259378785446,0.7174721189591078,0.3821782178217822,0.49870801033591733,0.6075663466967814,0.8790849673202614,0.7185308848080134,0.3828125,0.11060948081264109,0.17162872154115588,0.3014354066985646,0.12778904665314403,0.17948717948717952,0.9081679741578219,0.9728126544735541,0.9393794749403341
CNN-0.9,CNN,0.9,0.7699299657279094,0.9078625514746792,0.7078313253012049,0.46534653465346537,0.5615292712066906,0.61957796014068,0.863562091503268,0.7215017064846417,0.3368421052631579,0.14446952595936793,0.2022116903633491,0.23943661971830985,0.27586206896551724,0.2563619227144203,0.9386973180076629,0.9083044982698962,0.9232508478834318
NCR-0.3,NCR,0.3,0.7690359111905827,0.8723819395954027,0.0,0.0,0.0,0.5640259093173892,0.9248366013071896,0.7007118539151966,0.0,0.0,0.0,0.0,0.0,0.0,0.8565051020408163,0.9957983193277311,0.9209142857142857
SMT-0.6,SMT,0.6,0.7724631202503353,0.9095819488869222,0.46638655462184875,0.8792079207920792,0.6094715168153741,0.6750788643533123,0.5245098039215687,0.5903448275862069,0.3389261744966443,0.22799097065462753,0.2726045883940621,0.3157894736842105,0.0486815415821501,0.0843585237258348,0.8960306720793866,0.9819574888779041,0.9370283018867924
SMT-0.3,SMT,0.3,0.7568171658471167,0.888742883808891,0.4207207207207207,0.9247524752475248,0.578328173374613,0.6459054209919262,0.45751633986928103,0.5356288857006217,0.3717948717948718,0.0654627539503386,0.11132437619961612,0.0,0.0,0.0,0.8640463917525774,0.9943153732081068,0.9246150310273502
RUS_SMT-0.5,RUS_SMT,0.5,0.7700789748174639,0.9082024984157866,0.4523076923076923,0.8732673267326733,0.595945945945946,0.6766220391349125,0.5367647058823529,0.598633257403189,0.3384615384615385,0.1986455981941309,0.25035561877667134,0.2752808988764045,0.09939148073022312,0.14605067064083457,0.9089438409983822,0.9720711814137419,0.9394482264421353
RUS_SMT-0.3,RUS_SMT,0.3,0.7600953658173148,0.8961638750826884,0.41020966271649956,0.8910891089108911,0.5617977528089888,0.6554054054054054,0.47549019607843135,0.5511363636363635,0.33962264150943394,0.16252821670428894,0.2198473282442748,0.30434782608695654,0.014198782961460446,0.027131782945736434,0.8884435537742151,0.986159169550173,0.9347545976338292
NCR_SMT-0.1,NCR_SMT,0.1,0.6601102667262703,0.5213202656034066,0.5385694249649369,0.7603960396039604,0.6305418719211823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6745581860620207,1.0,0.8056551174830745
NCR-0.2,NCR,0.2,0.7662047384890478,0.8633222753266648,0.0,0.0,0.0,0.5857294994675186,0.8986928104575164,0.7092198581560285,0.0,0.0,0.0,0.0,0.0,0.0,0.8363335402441547,0.9990113692535838,0.9104628899650862
CNN-0.3,CNN,0.3,0.7539859931455819,0.9029837233876363,0.7016393442622951,0.42376237623762375,0.528395061728395,0.6102857142857143,0.8725490196078431,0.7182246133154001,0.3258426966292135,0.1309255079006772,0.18679549114331723,0.21522693997071743,0.29817444219066935,0.25,0.941501976284585,0.8830944142362828,0.9113633465119245
NCR_SMT-0,NCR_SMT,0,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
NCR-0.6,NCR,0.6,0.771420056623454,0.8810261898022561,0.0,0.0,0.0,0.5421686746987951,0.9558823529411765,0.6918982850384388,0.0,0.0,0.0,0.0,0.0,0.0,0.8800790687458818,0.9903608502224419,0.9319688335853006
NCR-0.5,NCR,0.5,0.7703769929965728,0.8779617247127636,0.0,0.0,0.0,0.5447726207219878,0.9493464052287581,0.6922847780756628,0.0,0.0,0.0,0.0,0.0,0.0,0.8754914809960681,0.990608007909046,0.9294990723562152
SMT-0.8,SMT,0.8,0.7708240202652362,0.9115262475451863,0.46186895810955964,0.8514851485148515,0.5988857938718664,0.6766220391349125,0.5367647058823529,0.598633257403189,0.3333333333333333,0.22573363431151242,0.269179004037685,0.2839506172839506,0.09330628803245436,0.14045801526717558,0.9063722107200368,0.9738012852199703,0.9388776361253426
TL-0.9,TL,0.9,0.775890329310088,0.8915862677662553,0.8636363636363636,0.03762376237623762,0.07210626185958253,0.5580943121050073,0.9379084967320261,0.6997866504114599,0.34408602150537637,0.07223476297968397,0.11940298507462686,0.3373493975903614,0.056795131845841784,0.09722222222222222,0.8931777378815081,0.9836875926841325,0.9362502940484592
OG-0.9,OG,0.9,0.7942184473252868,0.9036175718732515,0.7234848484848485,0.3782178217821782,0.4967490247074122,0.6070826306913997,0.8823529411764706,0.7192807192807192,0.37398373983739835,0.1038374717832957,0.1625441696113074,0.3252032520325203,0.08113590263691683,0.12987012987012986,0.8984622342831298,0.9819574888779041,0.9383561643835616
RUS_SMT-1,RUS_SMT,1,0.7732081656981076,0.9150523397422786,0.47444444444444445,0.8455445544554455,0.607829181494662,0.688508064516129,0.5580065359477124,0.6164259927797834,0.3322784810126582,0.23702031602708803,0.2766798418972332,0.2936802973977695,0.16024340770791076,0.20734908136482944,0.9199338686820973,0.962679189322788,0.9408212560386473
RUS_SMT-0.6,RUS_SMT,0.6,0.7696319475488005,0.9117579859484228,0.4587251828631139,0.8693069306930693,0.6005471956224351,0.6733615221987315,0.5204248366013072,0.5870967741935483,0.3366013071895425,0.2325056433408578,0.2750333778371162,0.2857142857142857,0.08924949290060852,0.13601236476043277,0.906623735050598,0.9742956005931784,0.9392423159399572
CNN-1,CNN,1,0.7706750111756817,0.9086715334012037,0.7147058823529412,0.48118811881188117,0.5751479289940827,0.6211764705882353,0.8627450980392157,0.7222982216142272,0.33157894736842103,0.14221218961625282,0.1990521327014218,0.2375886524822695,0.2718052738336714,0.2535477767265847,0.9384733214194536,0.9085516559565002,0.9232701243250031
SMT-0.9,SMT,0.9,0.7733571747876621,0.9126443392259809,0.4717607973421927,0.8435643564356435,0.6051136363636364,0.6858585858585858,0.5547385620915033,0.6133694670280035,0.3311897106109325,0.2325056433408578,0.2732095490716181,0.2849462365591398,0.1075050709939148,0.1561119293078056,0.9092802591992595,0.9710825506673257,0.9391657702880364
NCR-0.4,NCR,0.4,0.7703769929965728,0.8773486269377355,0.0,0.0,0.0,0.5469561113732893,0.9468954248366013,0.6933891714029315,0.0,0.0,0.0,0.0,0.0,0.0,0.8734756097560976,0.9913494809688581,0.9286871961102107
RUS-0.5,RUS,0.5,0.7836388019669199,0.8870904629220818,0.759493670886076,0.2376237623762376,0.36199095022624433,0.5662168915542228,0.9256535947712419,0.7026356589147286,0.0,0.0,0.0,0.0,0.0,0.0,0.8800527240773286,0.9901136925358379,0.9318446150267504
RUS_SMT-0.2,RUS_SMT,0.2,0.7644166294143943,0.8922876681966604,0.42719382835101255,0.8772277227722772,0.5745784695201038,0.6540084388185654,0.5065359477124183,0.570902394106814,0.3984375,0.11512415349887133,0.17863397548161122,0.0,0.0,0.0,0.8734232274902132,0.9925852694018784,0.9291994447015272
SMT-0,SMT,0,0.6028907763373565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6028907763373565,1.0,0.752254346007251
OG-1,OG,1,0.7951125018626136,0.904149597024241,0.7276119402985075,0.38613861386138615,0.5045278137128073,0.6091370558375635,0.8823529411764706,0.7207207207207207,0.38095238095238093,0.10835214446952596,0.1687170474516696,0.33070866141732286,0.08519269776876268,0.13548387096774195,0.8990264885669006,0.981463173504696,0.9384379061798417
RUS-0.3,RUS,0.3,0.767247802115929,0.8667536677012173,0.0,0.0,0.0,0.5761658031088083,0.9084967320261438,0.705136334812936,0.0,0.0,0.0,0.0,0.0,0.0,0.8443840200794813,0.9977755808205635,0.9146935538688115
